bardin_engineer_career_skill_weapon_preview | dr_steam_pistol | ranged | Beardling's Thrundtak | 
we_deus_01_magic | we_deus_01 | ranged | Weave-Forged Moonfire Bow | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_dual_wield_daggers | ww_dual_daggers | melee | Glade Guardian's Glaia | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_dual_wield_daggers_magic_01 | ww_dual_daggers | melee | Weave-Forged Glaia | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_dual_wield_sword_dagger | ww_sword_and_dagger | melee | Greenleaf's Galria | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_dual_wield_sword_dagger_magic_01 | ww_sword_and_dagger | melee | Weave-Forged Galria | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_dual_wield_swords | ww_dual_swords | melee | Greenleaf's Celya | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_dual_wield_swords_magic_01 | ww_dual_swords | melee | Weave-Forged Ceyla | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_javelin | we_javelin | ranged | Mournglade Kindrathi | we_thornsister,we_shade,we_maidenguard,we_waywatcher
we_javelin_magic | we_javelin | ranged | Weave-bound Kindrathi | we_thornsister,we_shade,we_maidenguard,we_waywatcher
we_life_staff | we_life_staff | ranged | Mournglade Sariothi | we_thornsister
we_life_staff_magic | we_life_staff | ranged | Weave-bound Sariothi | we_thornsister
we_longbow | ww_longbow | ranged | Glade Guardian's Nastirrath | we_shade,we_maidenguard,we_waywatcher,we_thornsister,es_questingknight,es_knight,es_mercenary,es_huntsman
we_longbow_magic_01 | ww_longbow | ranged | Weave-Forged Nastirrah | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_shortbow | ww_shortbow | ranged | Greenleaf's Edduath | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_shortbow_hagbane | ww_hagbane | ranged | Greenleaf's Kenuiath | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_shortbow_hagbane_magic_01 | ww_hagbane | ranged | Weave-Forged Kenuiath | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_shortbow_magic_01 | ww_shortbow | ranged | Weave-Forged Edduath | we_shade,we_maidenguard,we_waywatcher,we_thornsister
we_spear | we_2h_spear | melee | Greenleaf's Drannach | we_shade,we_maidenguard,we_waywatcher,we_thornsister,wh_captain,wh_priest
we_spear_magic_01 | we_2h_spear | melee | Weave-Forged Drannach | we_shade,we_maidenguard,we_waywatcher,we_thornsister
wh_1h_axe | wh_1h_axes | melee | Patchwork Axe | wh_zealot,wh_bountyhunter,wh_captain,we_shade,bw_adept,we_waywatcher,wh_priest,dr_ranger,es_questingknight,dr_slayer,bw_scholar
wh_1h_axe_magic_01 | wh_1h_axes | melee | Weave-Forged Axe | wh_zealot,wh_bountyhunter,wh_captain
wh_1h_falchion | wh_1h_falchions | melee | Templar's Excoriator | wh_zealot,wh_bountyhunter,wh_captain,we_shade,bw_adept,we_waywatcher,wh_priest,dr_ranger,es_questingknight,dr_slayer,bw_scholar
wh_1h_falchion_magic_01 | wh_1h_falchions | melee | Weave-Forged Falchion | wh_zealot,wh_bountyhunter,wh_captain
wh_1h_hammer | wh_1h_hammer | melee | Noviciateâ€™s Skull-Splitter | bw_adept,wh_captain,we_waywatcher,wh_priest,dr_ranger,dr_slayer,bw_scholar
wh_1h_hammer_magic_01 | wh_1h_hammer | melee | Weavebound Skull-Splitter | wh_priest,wh_zealot
wh_2h_billhook | wh_2h_billhook | melee | The Spear of Stirland | wh_zealot,wh_bountyhunter,wh_captain,wh_priest
wh_2h_billhook_magic_01 | wh_2h_billhook | melee | Weave-Forged Bill Hook | wh_zealot,wh_bountyhunter,wh_captain
wh_2h_hammer | wh_2h_hammer | melee | Noviciateâ€™s Reckoner | wh_priest,wh_captain
wh_2h_hammer_magic_01 | wh_2h_hammer | melee | Weavebound Reckoner | wh_priest,wh_zealot
wh_2h_sword | wh_2h_sword | melee | Unbalanced Greatsword | wh_zealot,wh_bountyhunter,wh_captain,we_waywatcher
wh_2h_sword_magic_01 | wh_2h_sword | melee | Weave-Forged Greatsword | wh_zealot,wh_bountyhunter,wh_captain
wh_brace_of_pistols | wh_brace_of_pisols | ranged | Patchwork Pistols | wh_zealot,wh_bountyhunter,wh_captain
wh_brace_of_pistols_magic_01 | wh_brace_of_pisols | ranged | Weave-Forged Matched Pistols | wh_zealot,wh_bountyhunter,wh_captain
wh_crossbow | wh_crossbow | ranged | Patchwork Crossbow | wh_zealot,wh_bountyhunter,wh_captain,dr_ranger,dr_engineer,dr_ironbreaker,dr_slayer
wh_crossbow_magic_01 | wh_crossbow | ranged | Weave-Forged Crossbow | wh_zealot,wh_bountyhunter,wh_captain
wh_crossbow_repeater | wh_repeating_crossbow | ranged | Templar's Repeater Crossbow | wh_zealot,wh_bountyhunter,wh_captain,we_waywatcher
wh_crossbow_repeater_magic_01 | wh_repeating_crossbow | ranged | Weave-Forged Repeater Crossbow | wh_zealot,wh_bountyhunter,wh_captain
wh_deus_01 | wh_deus_01 | ranged | Blacksmith's Griffon-foot | wh_bountyhunter,wh_captain,wh_zealot
wh_deus_01_magic | wh_deus_01 | ranged | Weave-Forged Griffon-Foot | wh_bountyhunter,wh_captain,wh_zealot
wh_dual_hammer | wh_dual_hammer | melee | Noviciateâ€™s Paired Skull-splitters | wh_priest,wh_captain
wh_dual_hammer_magic_01 | wh_dual_hammer | melee | Weavebound Paired Skull-splitters | wh_priest,wh_zealot
wh_dual_wield_axe_falchion | wh_dual_wield_axe_falchion | melee | Templar's Twin Excoriators | wh_zealot,wh_bountyhunter,wh_captain
wh_dual_wield_axe_falchion_magic_01 | wh_dual_wield_axe_falchion | melee | Weave-Forged Excoriators | wh_zealot,wh_bountyhunter,wh_captain
wh_fencing_sword | wh_fencing_sword | melee | Unbalanced Rapier | wh_bountyhunter,wh_captain,wh_zealot
wh_fencing_sword_magic_01 | wh_fencing_sword | melee | Weave-Forged Rapier | wh_bountyhunter,wh_captain,wh_zealot
wh_flail_shield | wh_flail_shield | melee | Noviciateâ€™s Flail & Shield | wh_priest
wh_flail_shield_magic_01 | wh_flail_shield | melee | Weavebound Flail & Shield | wh_priest
wh_hammer_book | wh_hammer_book | melee | Noviciateâ€™s Skull-Splitter & Blessed Tome | wh_priest
wh_hammer_book_magic_01 | wh_hammer_book | melee | Weavebound Skull-Splitter & Blessed Tome | wh_priest
wh_hammer_shield | wh_hammer_shield | melee | Noviciateâ€™s Skull-Splitter & Shield | wh_priest,dr_ranger,dr_slayer
wh_hammer_shield_magic_01 | wh_hammer_shield | melee | Weavebound Skull-Splitter & Shield | wh_priest
wh_priest_career_weapon_preview | wh_hammer_book | melee | <wh_hammer_book_name> | wh_priest
wh_repeating_pistols | wh_repeating_pistol | ranged | Patchwork Pistol | wh_zealot,wh_bountyhunter,wh_captain
wh_repeating_pistols_magic_01 | wh_repeating_pistol | ranged | Weave-Forged Outrider's Pistol | wh_zealot,wh_bountyhunter,wh_captain
